Date,Description,Category,Amount,Balance,Type
2024-06-04,Bank Transfer,Transfer,-5118,-2903681,Debit
2025-03-14,Myntra Shopping,Shopping,-4481,-2908162,Debit
2024-06-30,Movie Tickets,Entertainment,-3980,-2912142,Debit
2024-08-04,Petrol,Transport,-7181,-2919323,Debit
2024-10-21,Restaurant Bill,Food,-7479,-2926802,Debit
2025-01-15,Electronics,Shopping,-5749,-2932551,Debit
2024-02-25,Myntra Shopping,Shopping,-6171,-2938722,Debit
2024-07-01,Myntra Shopping,Shopping,-1267,-2939989,Debit
2024-04-04,Cash Deposit,Cash,-8972,-2948961,Debit
2024-04-30,Movie Tickets,Entertainment,-3301,-2952262,Debit
2024-12-09,Flipkart Order,Shopping,-5519,-2957781,Debit
2025-05-13,Bonus,Income,3797,-2953984,Credit
2024-05-26,Bonus,Income,26882,-2927102,Credit
2025-01-27,Water Bill,Utilities,-8879,-2935981,Debit
2024-03-05,Cash Deposit,Cash,-3158,-2939139,Debit
2024-01-23,Interest Credit,Savings Interest,6138,-2933001,Credit
2024-12-22,Flipkart Order,Shopping,-2221,-2935222,Debit
2025-02-01,Internet Recharge,Utilities,-9193,-2944415,Debit
2024-06-12,Uber Ride,Transport,-9085,-2953500,Debit
2024-09-01,Interest Credit,Savings Interest,9902,-2943598,Credit
2024-02-09,Refund,Income,12719,-2930879,Credit
2024-09-30,Internet Recharge,Utilities,-9663,-2940542,Debit
2024-11-19,Medical Store,Health,-6155,-2946697,Debit
2024-09-06,Doctor Visit,Health,-4390,-2951087,Debit
2024-06-19,ATM Withdrawal,Cash,-9749,-2960836,Debit
2025-03-17,Myntra Shopping,Shopping,-9362,-2970198,Debit
2024-04-01,UPI to Friend,Transfer,-3720,-2973918,Debit
2024-09-30,Uber Ride,Transport,-4514,-2978432,Debit
2025-04-28,Swiggy,Food,-3365,-2981797,Debit
2024-08-21,Movie Tickets,Entertainment,-9423,-2991220,Debit
2024-12-10,Bonus,Income,22952,-2968268,Credit
2025-03-04,Flipkart Order,Shopping,-8321,-2976589,Debit
2024-02-29,ATM Withdrawal,Cash,-3043,-2979632,Debit
2024-07-15,Medical Store,Health,-5230,-2984862,Debit
2024-01-03,Doctor Visit,Health,-108,-2984970,Debit
2024-07-18,Amazon Purchase,Shopping,-1920,-2986890,Debit
2024-02-18,Electricity Bill,Utilities,-3512,-2990402,Debit
2025-01-17,FD Interest,Savings Interest,5463,-2984939,Credit
2024-08-23,Electronics,Shopping,-3337,-2988276,Debit
2024-05-29,Internet Recharge,Utilities,-8562,-2996838,Debit
2025-01-05,Uber Ride,Transport,-5494,-3002332,Debit
2025-03-05,Amazon Purchase,Shopping,-2227,-3004559,Debit
2025-04-17,Amazon Purchase,Shopping,-6620,-3011179,Debit
2024-12-30,Uber Ride,Transport,-5458,-3016637,Debit
2024-04-03,Electricity Bill,Utilities,-808,-3017445,Debit
2024-12-11,Electronics,Shopping,-9430,-3026875,Debit
2024-07-30,FD Interest,Savings Interest,18357,-3008518,Credit
2025-01-01,Flipkart Order,Shopping,-2423,-3010941,Debit
2024-03-21,Refund,Income,17549,-2993392,Credit
2024-04-13,UPI to Friend,Transfer,-2718,-2996110,Debit
2024-12-29,Water Bill,Utilities,-1893,-2998003,Debit
2024-11-23,Electronics,Shopping,-1646,-2999649,Debit
2024-09-24,FD Interest,Savings Interest,27263,-2972386,Credit
2024-10-29,Train Ticket,Transport,-1142,-2973528,Debit
2024-04-20,Train Ticket,Transport,-3760,-2977288,Debit
2024-01-16,YouTube Premium,Entertainment,-3019,-2980307,Debit
2025-03-21,ATM Withdrawal,Cash,-8491,-2988798,Debit
2025-04-23,FD Interest,Savings Interest,14930,-2973868,Credit
2024-02-15,Doctor Visit,Health,-6553,-2980421,Debit
2025-02-18,Bonus,Income,23931,-2956490,Credit
2025-03-04,Interest Credit,Savings Interest,13342,-2943148,Credit
2024-06-26,Medical Store,Health,-5348,-2948496,Debit
2024-02-04,Doctor Visit,Health,-5909,-2954405,Debit
2024-11-15,Zomato Order,Food,-6860,-2961265,Debit
2025-01-30,Movie Tickets,Entertainment,-6028,-2967293,Debit
2024-05-30,Zomato Order,Food,-7005,-2974298,Debit
2024-05-05,Restaurant Bill,Food,-4974,-2979272,Debit
2025-01-11,Bonus,Income,11966,-2967306,Credit
2024-04-15,Electronics,Shopping,-5212,-2972518,Debit
2024-06-17,Movie Tickets,Entertainment,-6561,-2979079,Debit
2024-07-29,Zomato Order,Food,-2025,-2981104,Debit
2024-02-06,Amazon Purchase,Shopping,-8693,-2989797,Debit
2025-01-25,Bank Transfer,Transfer,-9643,-2999440,Debit
2024-04-06,Received from Rahul,Transfer,-9061,-3008501,Debit
2024-03-28,Water Bill,Utilities,-2843,-3011344,Debit
2024-07-08,Electricity Bill,Utilities,-8496,-3019840,Debit
2024-10-12,Interest Credit,Savings Interest,13605,-3006235,Credit
2024-03-26,Swiggy,Food,-1893,-3008128,Debit
2024-10-25,UPI to Friend,Transfer,-7266,-3015394,Debit
2024-11-25,Cash Deposit,Cash,-7270,-3022664,Debit
2025-01-10,Received from Rahul,Transfer,-9330,-3031994,Debit
2025-05-11,ATM Withdrawal,Cash,-9154,-3041148,Debit
2024-11-04,Amazon Purchase,Shopping,-6655,-3047803,Debit
2024-11-14,Internet Recharge,Utilities,-1260,-3049063,Debit
2025-03-26,Petrol,Transport,-5291,-3054354,Debit
2024-02-26,Cash Deposit,Cash,-3604,-3057958,Debit
2024-01-25,Swiggy,Food,-1714,-3059672,Debit
2024-04-23,Cash Deposit,Cash,-8913,-3068585,Debit
2024-12-29,Medical Store,Health,-2317,-3070902,Debit
2024-06-27,Electronics,Shopping,-4711,-3075613,Debit
2024-10-31,Swiggy,Food,-6290,-3081903,Debit
2025-03-03,Bonus,Income,6722,-3075181,Credit
2024-12-16,YouTube Premium,Entertainment,-4766,-3079947,Debit
2024-08-22,ATM Withdrawal,Cash,-8084,-3088031,Debit
2024-03-10,Water Bill,Utilities,-6511,-3094542,Debit
2024-07-06,Cash Deposit,Cash,-8464,-3103006,Debit
2024-11-19,Train Ticket,Transport,-4116,-3107122,Debit
2024-01-14,Internet Recharge,Utilities,-1952,-3109074,Debit
2024-05-27,Cafe Coffee Day,Food,-4086,-3113160,Debit
2024-02-18,FD Interest,Savings Interest,20010,-3093150,Credit
2025-01-30,Uber Ride,Transport,-709,-3093859,Debit
2025-04-20,Petrol,Transport,-2226,-3096085,Debit
2024-09-19,Salary Credit,Income,20434,-3075651,Credit
2024-02-20,Uber Ride,Transport,-8196,-3083847,Debit
2024-08-28,Interest Credit,Savings Interest,14358,-3069489,Credit
2024-10-30,Electronics,Shopping,-919,-3070408,Debit
2024-12-09,Electronics,Shopping,-1968,-3072376,Debit
2024-08-15,Swiggy,Food,-3555,-3075931,Debit
2025-04-26,Received from Rahul,Transfer,-2958,-3078889,Debit
2024-05-29,UPI to Friend,Transfer,-453,-3079342,Debit
2024-06-29,Cash Deposit,Cash,-6455,-3085797,Debit
2025-03-04,Water Bill,Utilities,-4009,-3089806,Debit
2024-10-21,Flipkart Order,Shopping,-3581,-3093387,Debit
2024-12-04,ATM Withdrawal,Cash,-3305,-3096692,Debit
2024-06-05,Water Bill,Utilities,-1434,-3098126,Debit
2024-04-14,FD Interest,Savings Interest,6625,-3091501,Credit
2024-08-31,Doctor Visit,Health,-9151,-3100652,Debit
2024-02-05,Received from Rahul,Transfer,-1827,-3102479,Debit
2025-01-06,YouTube Premium,Entertainment,-2743,-3105222,Debit
2024-01-01,Doctor Visit,Health,-3971,-3109193,Debit
2024-12-19,Cafe Coffee Day,Food,-8280,-3117473,Debit
2024-09-19,FD Interest,Savings Interest,28821,-3088652,Credit
2024-11-09,Doctor Visit,Health,-9885,-3098537,Debit
2025-03-14,Electricity Bill,Utilities,-6952,-3105489,Debit
2024-10-10,Uber Ride,Transport,-1590,-3107079,Debit
2024-08-31,Uber Ride,Transport,-3569,-3110648,Debit
2025-05-06,Electricity Bill,Utilities,-2255,-3112903,Debit
2024-05-24,Internet Recharge,Utilities,-2730,-3115633,Debit
2025-01-30,Bank Transfer,Transfer,-4919,-3120552,Debit
2024-06-10,Electronics,Shopping,-8015,-3128567,Debit
2024-11-20,ATM Withdrawal,Cash,-5633,-3134200,Debit
2024-02-06,Electricity Bill,Utilities,-7870,-3142070,Debit
2025-03-07,Uber Ride,Transport,-4406,-3146476,Debit
2024-03-05,Amazon Purchase,Shopping,-5344,-3151820,Debit
2025-02-05,Interest Credit,Savings Interest,21523,-3130297,Credit
2025-04-10,Electronics,Shopping,-4178,-3134475,Debit
2025-01-25,FD Interest,Savings Interest,14663,-3119812,Credit
2025-05-06,FD Interest,Savings Interest,19666,-3100146,Credit
2025-04-28,Freelance Payment,Income,2321,-3097825,Credit
2024-02-12,Medical Store,Health,-2110,-3099935,Debit
2024-04-03,Myntra Shopping,Shopping,-9732,-3109667,Debit
2025-01-21,Interest Credit,Savings Interest,28789,-3080878,Credit
2025-04-11,Movie Tickets,Entertainment,-4339,-3085217,Debit
2024-03-05,Internet Recharge,Utilities,-7823,-3093040,Debit
2025-01-28,Swiggy,Food,-1474,-3094514,Debit
2025-01-28,Cash Deposit,Cash,-3980,-3098494,Debit
2025-03-25,Cash Deposit,Cash,-301,-3098795,Debit
2024-04-03,UPI to Friend,Transfer,-7676,-3106471,Debit
2024-11-14,Swiggy,Food,-3160,-3109631,Debit
2025-01-07,Interest Credit,Savings Interest,4883,-3104748,Credit
2024-04-22,Refund,Income,25106,-3079642,Credit
2024-09-07,YouTube Premium,Entertainment,-1711,-3081353,Debit
2024-03-07,Received from Rahul,Transfer,-5577,-3086930,Debit
2024-02-16,Movie Tickets,Entertainment,-943,-3087873,Debit
2024-10-30,Train Ticket,Transport,-4098,-3091971,Debit
2024-02-20,Interest Credit,Savings Interest,13223,-3078748,Credit
2025-05-04,Medical Store,Health,-1244,-3079992,Debit
2025-02-09,Salary Credit,Income,3311,-3076681,Credit
2025-03-02,Freelance Payment,Income,23183,-3053498,Credit
2024-02-12,Interest Credit,Savings Interest,27320,-3026178,Credit
2024-12-22,Freelance Payment,Income,19803,-3006375,Credit
2025-01-10,Movie Tickets,Entertainment,-4347,-3010722,Debit
2024-04-23,Spotify,Entertainment,-1532,-3012254,Debit
2025-01-15,Cash Deposit,Cash,-7210,-3019464,Debit
2024-05-30,Spotify,Entertainment,-3206,-3022670,Debit
2025-04-13,Myntra Shopping,Shopping,-3605,-3026275,Debit
2025-02-02,FD Interest,Savings Interest,14043,-3012232,Credit
2024-01-27,Water Bill,Utilities,-2233,-3014465,Debit
2024-02-15,Doctor Visit,Health,-248,-3014713,Debit
2024-07-20,YouTube Premium,Entertainment,-7642,-3022355,Debit
2025-01-26,Cash Deposit,Cash,-9710,-3032065,Debit
2024-03-23,FD Interest,Savings Interest,19761,-3012304,Credit
2025-01-07,Doctor Visit,Health,-4742,-3017046,Debit
2024-01-14,Refund,Income,5017,-3012029,Credit
2025-05-13,Spotify,Entertainment,-221,-3012250,Debit
2024-11-12,Movie Tickets,Entertainment,-3466,-3015716,Debit
2025-05-08,Doctor Visit,Health,-1001,-3016717,Debit
2024-09-21,Train Ticket,Transport,-9750,-3026467,Debit
2025-01-25,Water Bill,Utilities,-8832,-3035299,Debit
2024-02-02,Electricity Bill,Utilities,-422,-3035721,Debit
2024-08-11,YouTube Premium,Entertainment,-502,-3036223,Debit
2024-02-08,Internet Recharge,Utilities,-9553,-3045776,Debit
2025-02-21,Restaurant Bill,Food,-635,-3046411,Debit
2025-01-11,Restaurant Bill,Food,-4303,-3050714,Debit
2024-10-18,Doctor Visit,Health,-6967,-3057681,Debit
2025-01-24,Electricity Bill,Utilities,-5608,-3063289,Debit
2024-10-14,Train Ticket,Transport,-2314,-3065603,Debit
2024-07-17,Interest Credit,Savings Interest,29268,-3036335,Credit
2024-10-23,Spotify,Entertainment,-287,-3036622,Debit
2024-07-30,Spotify,Entertainment,-4656,-3041278,Debit
2024-09-11,ATM Withdrawal,Cash,-2638,-3043916,Debit
2024-05-20,Medical Store,Health,-1514,-3045430,Debit
2024-08-04,YouTube Premium,Entertainment,-6327,-3051757,Debit
2024-03-28,Salary Credit,Income,9407,-3042350,Credit
2024-01-08,YouTube Premium,Entertainment,-1152,-3043502,Debit
2024-05-03,Received from Rahul,Transfer,-8135,-3051637,Debit
2024-05-05,Flipkart Order,Shopping,-9914,-3061551,Debit
2025-04-29,Water Bill,Utilities,-6634,-3068185,Debit
2024-04-20,Salary Credit,Income,7384,-3060801,Credit
2024-09-07,Received from Rahul,Transfer,-3365,-3064166,Debit
2025-01-03,Bank Transfer,Transfer,-8242,-3072408,Debit
2024-05-30,Interest Credit,Savings Interest,13905,-3058503,Credit
2024-05-23,YouTube Premium,Entertainment,-2448,-3060951,Debit
2024-03-02,Water Bill,Utilities,-3163,-3064114,Debit
2024-06-10,ATM Withdrawal,Cash,-7877,-3071991,Debit
2024-05-05,Petrol,Transport,-9917,-3081908,Debit
2025-05-01,Train Ticket,Transport,-9470,-3091378,Debit
2024-07-16,Freelance Payment,Income,15640,-3075738,Credit
2024-06-08,Flipkart Order,Shopping,-6327,-3082065,Debit
2024-02-21,Spotify,Entertainment,-7260,-3089325,Debit
2024-02-07,Water Bill,Utilities,-2998,-3092323,Debit
2024-08-13,Interest Credit,Savings Interest,24451,-3067872,Credit
2025-01-17,Movie Tickets,Entertainment,-7555,-3075427,Debit
2024-07-13,Cafe Coffee Day,Food,-2117,-3077544,Debit
2025-04-07,UPI to Friend,Transfer,-1123,-3078667,Debit
2024-02-06,FD Interest,Savings Interest,11616,-3067051,Credit
2024-01-09,Uber Ride,Transport,-6831,-3073882,Debit
2024-03-09,ATM Withdrawal,Cash,-9831,-3083713,Debit
2024-04-13,Cash Deposit,Cash,-6079,-3089792,Debit
2024-05-03,Petrol,Transport,-7644,-3097436,Debit
2025-04-25,Restaurant Bill,Food,-4004,-3101440,Debit
2024-05-26,Swiggy,Food,-3000,-3104440,Debit
2024-06-14,Bonus,Income,17341,-3087099,Credit
2024-01-06,Freelance Payment,Income,7392,-3079707,Credit
2024-09-21,Zomato Order,Food,-2378,-3082085,Debit
2024-08-26,Train Ticket,Transport,-4845,-3086930,Debit
2025-02-06,Salary Credit,Income,27197,-3059733,Credit
2025-05-13,Medical Store,Health,-5394,-3065127,Debit
2024-12-04,Doctor Visit,Health,-6061,-3071188,Debit
2024-09-09,Medical Store,Health,-1403,-3072591,Debit
2025-02-03,Bonus,Income,4854,-3067737,Credit
2024-05-20,Petrol,Transport,-3920,-3071657,Debit
2025-02-07,Petrol,Transport,-9581,-3081238,Debit
2024-06-10,FD Interest,Savings Interest,3854,-3077384,Credit
2024-05-17,Train Ticket,Transport,-8986,-3086370,Debit
2024-09-28,Doctor Visit,Health,-9778,-3096148,Debit
2025-01-29,Spotify,Entertainment,-9908,-3106056,Debit
2024-03-14,FD Interest,Savings Interest,580,-3105476,Credit
2024-10-07,YouTube Premium,Entertainment,-3309,-3108785,Debit
2025-03-03,Freelance Payment,Income,17619,-3091166,Credit
2024-05-01,FD Interest,Savings Interest,4089,-3087077,Credit
2025-03-18,Interest Credit,Savings Interest,19190,-3067887,Credit
2024-05-28,Doctor Visit,Health,-3354,-3071241,Debit
2025-03-28,Freelance Payment,Income,2475,-3068766,Credit
2025-05-13,Doctor Visit,Health,-3065,-3071831,Debit
2024-12-01,Electronics,Shopping,-6851,-3078682,Debit
2024-02-16,Zomato Order,Food,-8805,-3087487,Debit
2024-04-11,Bonus,Income,23909,-3063578,Credit
2025-03-25,Cash Deposit,Cash,-5512,-3069090,Debit
2024-03-16,Cash Deposit,Cash,-9192,-3078282,Debit
2024-06-10,ATM Withdrawal,Cash,-6226,-3084508,Debit
2024-08-04,Cash Deposit,Cash,-4786,-3089294,Debit
2025-01-27,FD Interest,Savings Interest,554,-3088740,Credit
2024-11-17,YouTube Premium,Entertainment,-3143,-3091883,Debit
2024-12-11,YouTube Premium,Entertainment,-2337,-3094220,Debit
2024-03-24,Interest Credit,Savings Interest,21739,-3072481,Credit
2024-11-20,Interest Credit,Savings Interest,5484,-3066997,Credit
2025-03-22,Movie Tickets,Entertainment,-5156,-3072153,Debit
2025-03-28,Spotify,Entertainment,-4680,-3076833,Debit
2024-12-16,Restaurant Bill,Food,-5816,-3082649,Debit
2024-11-06,Interest Credit,Savings Interest,14758,-3067891,Credit
2024-06-24,Petrol,Transport,-9517,-3077408,Debit
2024-07-13,Electricity Bill,Utilities,-6583,-3083991,Debit
2024-01-28,Cash Deposit,Cash,-2008,-3085999,Debit
2024-06-05,Bonus,Income,1822,-3084177,Credit
2024-06-23,Internet Recharge,Utilities,-3621,-3087798,Debit
2024-07-02,Doctor Visit,Health,-448,-3088246,Debit
2024-01-17,ATM Withdrawal,Cash,-1159,-3089405,Debit
2024-12-11,Cash Deposit,Cash,-9531,-3098936,Debit
2024-03-16,Medical Store,Health,-7172,-3106108,Debit
2024-08-11,Salary Credit,Income,10078,-3096030,Credit
2024-06-16,Bank Transfer,Transfer,-631,-3096661,Debit
2024-11-21,ATM Withdrawal,Cash,-9340,-3106001,Debit
2025-01-22,FD Interest,Savings Interest,7641,-3098360,Credit
2025-04-25,FD Interest,Savings Interest,11820,-3086540,Credit
2024-04-14,Electricity Bill,Utilities,-4348,-3090888,Debit
2025-02-03,FD Interest,Savings Interest,6026,-3084862,Credit
2024-07-17,Internet Recharge,Utilities,-7706,-3092568,Debit
2024-09-18,Train Ticket,Transport,-5478,-3098046,Debit
2025-02-16,Uber Ride,Transport,-7059,-3105105,Debit
2024-02-25,Refund,Income,17639,-3087466,Credit
2024-02-10,Movie Tickets,Entertainment,-3434,-3090900,Debit
2024-11-25,Uber Ride,Transport,-9783,-3100683,Debit
2024-04-18,UPI to Friend,Transfer,-4937,-3105620,Debit
2024-04-27,Restaurant Bill,Food,-9485,-3115105,Debit
2024-06-03,Water Bill,Utilities,-8275,-3123380,Debit
2025-02-26,Movie Tickets,Entertainment,-6485,-3129865,Debit
2024-04-12,Medical Store,Health,-4040,-3133905,Debit
2024-10-14,Electronics,Shopping,-6815,-3140720,Debit
2025-04-13,Cafe Coffee Day,Food,-5720,-3146440,Debit
2024-01-28,Doctor Visit,Health,-7517,-3153957,Debit
2024-04-20,Restaurant Bill,Food,-4631,-3158588,Debit
2024-04-07,ATM Withdrawal,Cash,-824,-3159412,Debit
2024-10-10,Received from Rahul,Transfer,-9750,-3169162,Debit
2025-01-30,Medical Store,Health,-5492,-3174654,Debit
2024-03-23,Myntra Shopping,Shopping,-6525,-3181179,Debit
2024-01-27,Uber Ride,Transport,-313,-3181492,Debit
2024-01-30,Movie Tickets,Entertainment,-3781,-3185273,Debit
2025-03-01,Received from Rahul,Transfer,-5821,-3191094,Debit
2024-07-13,Myntra Shopping,Shopping,-8885,-3199979,Debit
2025-02-02,YouTube Premium,Entertainment,-6431,-3206410,Debit
2025-05-11,Train Ticket,Transport,-1325,-3207735,Debit
2024-02-01,Train Ticket,Transport,-4531,-3212266,Debit
2024-06-17,Salary Credit,Income,15461,-3196805,Credit
2024-05-05,Interest Credit,Savings Interest,15367,-3181438,Credit
2024-02-14,Received from Rahul,Transfer,-4100,-3185538,Debit
2025-04-18,Train Ticket,Transport,-9238,-3194776,Debit
2024-10-28,Received from Rahul,Transfer,-9956,-3204732,Debit
2025-03-05,UPI to Friend,Transfer,-5506,-3210238,Debit
2024-08-12,Myntra Shopping,Shopping,-487,-3210725,Debit
2025-05-11,Train Ticket,Transport,-4695,-3215420,Debit
2024-06-01,ATM Withdrawal,Cash,-3384,-3218804,Debit
2024-07-31,Freelance Payment,Income,29298,-3189506,Credit
2024-06-23,Electronics,Shopping,-3251,-3192757,Debit
2024-01-13,ATM Withdrawal,Cash,-3330,-3196087,Debit
2024-10-29,Cash Deposit,Cash,-258,-3196345,Debit
2024-08-16,Flipkart Order,Shopping,-6538,-3202883,Debit
2024-02-27,Myntra Shopping,Shopping,-1817,-3204700,Debit
2025-01-26,UPI to Friend,Transfer,-7900,-3212600,Debit
2024-01-18,Cafe Coffee Day,Food,-6679,-3219279,Debit
2025-03-07,FD Interest,Savings Interest,11905,-3207374,Credit
2025-05-10,Doctor Visit,Health,-8274,-3215648,Debit
2024-06-22,Electricity Bill,Utilities,-888,-3216536,Debit
2024-01-25,Restaurant Bill,Food,-111,-3216647,Debit
2025-02-06,Swiggy,Food,-4025,-3220672,Debit
2024-04-18,FD Interest,Savings Interest,13501,-3207171,Credit
2025-01-11,Train Ticket,Transport,-1000,-3208171,Debit
2025-02-26,Electronics,Shopping,-4278,-3212449,Debit
2024-02-08,Movie Tickets,Entertainment,-7571,-3220020,Debit
2024-08-22,Movie Tickets,Entertainment,-4246,-3224266,Debit
2025-04-04,Uber Ride,Transport,-4190,-3228456,Debit
2024-11-25,Train Ticket,Transport,-4401,-3232857,Debit
2024-02-21,Internet Recharge,Utilities,-7863,-3240720,Debit
2024-02-14,Bank Transfer,Transfer,-6213,-3246933,Debit
2024-06-22,ATM Withdrawal,Cash,-1957,-3248890,Debit
2024-09-09,Doctor Visit,Health,-3052,-3251942,Debit
2025-01-06,Zomato Order,Food,-1389,-3253331,Debit
2024-08-11,Zomato Order,Food,-1737,-3255068,Debit
2024-09-28,Amazon Purchase,Shopping,-1277,-3256345,Debit
2024-04-23,Restaurant Bill,Food,-9690,-3266035,Debit
2024-09-14,Salary Credit,Income,5524,-3260511,Credit
2024-04-09,Medical Store,Health,-9079,-3269590,Debit
2024-12-14,Train Ticket,Transport,-931,-3270521,Debit
2024-04-19,Train Ticket,Transport,-3593,-3274114,Debit
2025-01-01,Spotify,Entertainment,-9958,-3284072,Debit
2024-05-24,Freelance Payment,Income,21269,-3262803,Credit
2024-11-21,Water Bill,Utilities,-9428,-3272231,Debit
2024-03-06,UPI to Friend,Transfer,-7418,-3279649,Debit
2024-11-10,Electricity Bill,Utilities,-946,-3280595,Debit
2024-07-12,Internet Recharge,Utilities,-1994,-3282589,Debit
2024-02-25,Interest Credit,Savings Interest,28381,-3254208,Credit
2024-06-06,Train Ticket,Transport,-5641,-3259849,Debit
2024-06-04,Zomato Order,Food,-8908,-3268757,Debit
2024-10-16,Spotify,Entertainment,-5395,-3274152,Debit
2024-11-06,Bonus,Income,28457,-3245695,Credit
2024-03-08,Medical Store,Health,-2427,-3248122,Debit
2024-11-30,Electronics,Shopping,-4956,-3253078,Debit
2024-12-19,ATM Withdrawal,Cash,-4521,-3257599,Debit
2024-02-21,FD Interest,Savings Interest,29148,-3228451,Credit
2024-01-09,Bonus,Income,10769,-3217682,Credit
2025-01-17,Doctor Visit,Health,-3447,-3221129,Debit
2024-10-28,Medical Store,Health,-3867,-3224996,Debit
2024-11-06,Myntra Shopping,Shopping,-4711,-3229707,Debit
2024-02-10,Water Bill,Utilities,-7009,-3236716,Debit
2024-01-11,Salary Credit,Income,15849,-3220867,Credit
2024-04-14,Swiggy,Food,-7878,-3228745,Debit
2024-12-05,FD Interest,Savings Interest,11775,-3216970,Credit
2024-12-22,Restaurant Bill,Food,-9815,-3226785,Debit
2024-04-18,Electricity Bill,Utilities,-4330,-3231115,Debit
2025-02-21,FD Interest,Savings Interest,22935,-3208180,Credit
2025-04-16,Electronics,Shopping,-8319,-3216499,Debit
2024-09-04,Uber Ride,Transport,-2804,-3219303,Debit
2025-01-25,Freelance Payment,Income,5097,-3214206,Credit
2024-07-20,Uber Ride,Transport,-4494,-3218700,Debit
2024-03-21,Bank Transfer,Transfer,-504,-3219204,Debit
2025-02-18,Interest Credit,Savings Interest,24744,-3194460,Credit
2024-02-12,Received from Rahul,Transfer,-8703,-3203163,Debit
2025-03-20,Medical Store,Health,-2651,-3205814,Debit
2024-10-30,Medical Store,Health,-3347,-3209161,Debit
2024-06-10,Bonus,Income,5659,-3203502,Credit
2024-05-03,UPI to Friend,Transfer,-6164,-3209666,Debit
2024-05-07,Internet Recharge,Utilities,-4833,-3214499,Debit
2024-11-11,Swiggy,Food,-4836,-3219335,Debit
2024-11-03,UPI to Friend,Transfer,-1222,-3220557,Debit
2024-11-11,UPI to Friend,Transfer,-7041,-3227598,Debit
2024-03-12,UPI to Friend,Transfer,-2707,-3230305,Debit
2024-11-06,Water Bill,Utilities,-8505,-3238810,Debit
2024-01-10,Water Bill,Utilities,-8863,-3247673,Debit
2024-02-23,Bank Transfer,Transfer,-8124,-3255797,Debit
2024-08-14,UPI to Friend,Transfer,-2320,-3258117,Debit
2025-03-30,FD Interest,Savings Interest,8752,-3249365,Credit
2025-03-06,Swiggy,Food,-6350,-3255715,Debit
2024-04-20,Restaurant Bill,Food,-8727,-3264442,Debit
2024-07-16,Cash Deposit,Cash,-5218,-3269660,Debit
2024-01-11,Spotify,Entertainment,-4846,-3274506,Debit
2025-03-25,FD Interest,Savings Interest,9527,-3264979,Credit
2024-11-02,Amazon Purchase,Shopping,-3196,-3268175,Debit
2024-05-13,Spotify,Entertainment,-9067,-3277242,Debit
2025-01-25,Salary Credit,Income,8191,-3269051,Credit
2024-03-12,FD Interest,Savings Interest,17609,-3251442,Credit
2025-04-05,FD Interest,Savings Interest,22776,-3228666,Credit
2024-09-09,Salary Credit,Income,27187,-3201479,Credit
2025-04-18,ATM Withdrawal,Cash,-6410,-3207889,Debit
2025-04-02,Bonus,Income,29805,-3178084,Credit
2025-03-14,ATM Withdrawal,Cash,-7749,-3185833,Debit
2025-02-09,FD Interest,Savings Interest,23003,-3162830,Credit
2025-02-22,Zomato Order,Food,-1736,-3164566,Debit
2025-04-09,Myntra Shopping,Shopping,-7372,-3171938,Debit
2024-12-01,Interest Credit,Savings Interest,21289,-3150649,Credit
2025-03-05,Spotify,Entertainment,-9447,-3160096,Debit
2024-02-18,Received from Rahul,Transfer,-9238,-3169334,Debit
2024-12-01,Salary Credit,Income,12096,-3157238,Credit
2024-02-19,Cash Deposit,Cash,-6678,-3163916,Debit
2024-04-26,FD Interest,Savings Interest,25045,-3138871,Credit
2024-08-18,UPI to Friend,Transfer,-8514,-3147385,Debit
2024-12-24,Myntra Shopping,Shopping,-5422,-3152807,Debit
2024-06-01,Salary Credit,Income,21373,-3131434,Credit
2024-01-06,Petrol,Transport,-999,-3132433,Debit
2025-03-06,Train Ticket,Transport,-5238,-3137671,Debit
2024-10-05,Interest Credit,Savings Interest,6733,-3130938,Credit
2025-05-08,Medical Store,Health,-7200,-3138138,Debit
2024-06-13,Electronics,Shopping,-7389,-3145527,Debit
2025-01-02,Restaurant Bill,Food,-2808,-3148335,Debit
2024-05-11,YouTube Premium,Entertainment,-6399,-3154734,Debit
2024-04-03,Medical Store,Health,-2132,-3156866,Debit
2025-04-26,Petrol,Transport,-532,-3157398,Debit
2024-11-30,Uber Ride,Transport,-9772,-3167170,Debit
2024-04-20,Train Ticket,Transport,-380,-3167550,Debit
2025-02-26,ATM Withdrawal,Cash,-621,-3168171,Debit
2024-09-18,Swiggy,Food,-721,-3168892,Debit
2025-03-18,Zomato Order,Food,-9303,-3178195,Debit
2025-01-14,Uber Ride,Transport,-7360,-3185555,Debit
2024-12-03,Internet Recharge,Utilities,-4592,-3190147,Debit
2024-05-10,Amazon Purchase,Shopping,-3887,-3194034,Debit
2024-11-06,Bank Transfer,Transfer,-8313,-3202347,Debit
2025-03-22,Restaurant Bill,Food,-3309,-3205656,Debit
2025-03-06,Flipkart Order,Shopping,-1811,-3207467,Debit
2025-03-11,YouTube Premium,Entertainment,-9212,-3216679,Debit
2024-10-01,Bank Transfer,Transfer,-8544,-3225223,Debit
2024-04-12,ATM Withdrawal,Cash,-6194,-3231417,Debit
2024-10-31,YouTube Premium,Entertainment,-9082,-3240499,Debit
2024-02-22,Salary Credit,Income,25188,-3215311,Credit
2024-02-23,Train Ticket,Transport,-3051,-3218362,Debit
